row_id,date,source_text,extracted_events,event_fact,schema_valid,grounding_valid,temporal_valid,review_event_count_correct,review_evidence_correct,review_factuality_correct,review_missing_event,review_hallucinated_event,review_notes
1543,1986-03-24,"The Region article from March 30, 1986, reports that environmental officials in New Jersey have found more radon gas in the state, with 250,000 houses and buildings sitting atop the Reading Prong area being of concern.","[{""event_id"": ""evt_b81930597b0dd00dbb13e34e"", ""source_row_id"": 1543, ""source_text_hash"": ""4fca3fac100019dd43ff28323c7d3a9c5704cbd96abf2fe3de673984d4be77d0"", ""report_time"": ""1986-03-24"", ""event_time_start"": ""1986-03-30"", ""event_time_end"": null, ""actor"": ""environmental officials in New Jersey"", ""action"": ""found"", ""object"": ""more radon gas in the state"", ""location"": ""New Jersey"", ""event_type_raw"": ""discovery of increased radon gas levels"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""negative"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""environmental officials in New Jersey have found more radon gas in the state"", ""source_name"": ""The Region article"", ""extraction_confidence"": 0.9, ""temporal_status"": ""invalid"", ""grounding_status"": ""exact"", ""warnings"": [""event_time_not_explicitly_dated_in_evidence"", ""future_event_marked_observed""]}, {""event_id"": ""evt_14d72f8dc5323b89264a8b09"", ""source_row_id"": 1543, ""source_text_hash"": ""4fca3fac100019dd43ff28323c7d3a9c5704cbd96abf2fe3de673984d4be77d0"", ""report_time"": ""1986-03-24"", ""event_time_start"": ""1986-03-30"", ""event_time_end"": null, ""actor"": ""environmental officials in New Jersey"", ""action"": ""identified"", ""object"": ""250,000 houses and buildings sitting atop the Reading Prong area being of concern"", ""location"": ""Reading Prong area, New Jersey"", ""event_type_raw"": ""identification of at-risk buildings due to radon gas"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""negative"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""250,000 houses and buildings sitting atop the Reading Prong area being of concern"", ""source_name"": ""The Region article"", ""extraction_confidence"": 0.85, ""temporal_status"": ""invalid"", ""grounding_status"": ""exact"", ""warnings"": [""event_time_not_explicitly_dated_in_evidence"", ""future_event_marked_observed""]}]",No material event was identified in the provided text.,True,True,False,,,,,,
213,1982-08-02,"The article ""RECESSION SILENCES THE MINES OF THE MINNESOTA IRON"" mentions that Minnesota and Wisconsin were under air quality warnings in 1982.","[{""event_id"": ""evt_a64597630e121cd9bcb9587d"", ""source_row_id"": 213, ""source_text_hash"": ""58bfd98574cd5fe6361ebff79631f0676726ad0d8a5582fff9b715d10831c64a"", ""report_time"": ""1982-08-02"", ""event_time_start"": ""1982"", ""event_time_end"": ""1982"", ""actor"": null, ""action"": ""were under air quality warnings"", ""object"": ""Minnesota and Wisconsin"", ""location"": null, ""event_type_raw"": ""Minnesota and Wisconsin were under air quality warnings in 1982"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""negative"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""Minnesota and Wisconsin were under air quality warnings in 1982"", ""source_name"": null, ""extraction_confidence"": 0.9, ""temporal_status"": ""past"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: Minnesota and Wisconsin were under air quality warnings in 1982.
Event time: 1982.
Actor and action: unknown were under air quality warnings Minnesota and Wisconsin.
Factuality: observed.
Expected direction: negative.
Candidate lag: unknown.
Evidence: Minnesota and Wisconsin were under air quality warnings in 1982.",True,True,True,,,,,,
619,1983-09-12,"The air quality in New York City is a concern, with Gramercy Park Mansion affected by air pollution.","[{""event_id"": ""evt_d7852c416624d0a9b8ad2057"", ""source_row_id"": 619, ""source_text_hash"": ""76555c715836fb2abd0cf549910d301b8f4a42d81a01af19851d72d88364c6d8"", ""report_time"": ""1983-09-12"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""affected by"", ""object"": ""air pollution"", ""location"": ""Gramercy Park Mansion"", ""event_type_raw"": ""air pollution affecting Gramercy Park Mansion"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""negative"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""Gramercy Park Mansion affected by air pollution"", ""source_name"": null, ""extraction_confidence"": 0.9, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: air pollution affecting Gramercy Park Mansion.
Event time: unknown.
Actor and action: unknown affected by air pollution.
Factuality: observed.
Expected direction: negative.
Candidate lag: unknown.
Evidence: Gramercy Park Mansion affected by air pollution.",True,True,True,,,,,,
1487,1986-01-27,"Air quality is a concern, with states like New York enacting laws to improve it.","[{""event_id"": ""evt_9c9d313e7f7f6a7a5cb1d87e"", ""source_row_id"": 1487, ""source_text_hash"": ""4956216641dcef24c37a6e3711fd0f8bbd9e3516c246d1dd208e41885d030afc"", ""report_time"": ""1986-01-27"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": ""states like New York"", ""action"": ""enacting laws to improve air quality"", ""object"": ""laws to improve air quality"", ""location"": null, ""event_type_raw"": ""enacting laws to improve air quality"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""states like New York enacting laws to improve it"", ""source_name"": null, ""extraction_confidence"": 0.9, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: enacting laws to improve air quality.
Event time: unknown.
Actor and action: states like New York enacting laws to improve air quality laws to improve air quality.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: states like New York enacting laws to improve it.",True,True,True,,,,,,
2292,1988-04-11,"The article ""LEAD HAZARDS TO FISH, WILDLIFE, AND INVERTEBRATES: A SYNTHESIS"" mentions that air pollution from combustion of leaded gasoline is a concern.","[{""event_id"": ""evt_23bf11e1fbe881ae03ec1ddf"", ""source_row_id"": 2292, ""source_text_hash"": ""284579f06e4d4298e8798cef097135439b3fbf09ddd6ed1c9c6f3a8ae67841b6"", ""report_time"": ""1988-04-11"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""is a concern"", ""object"": ""air pollution from combustion of leaded gasoline"", ""location"": null, ""event_type_raw"": ""air pollution from combustion of leaded gasoline is a concern"", ""event_type_canonical"": null, ""affected_target"": null, ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""air pollution from combustion of leaded gasoline is a concern"", ""source_name"": null, ""extraction_confidence"": 0.9, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: air pollution from combustion of leaded gasoline is a concern.
Event time: unknown.
Actor and action: unknown is a concern air pollution from combustion of leaded gasoline.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: air pollution from combustion of leaded gasoline is a concern.",True,True,True,,,,,,
9103,2006-12-04,Objective facts about the Environment situation: The New York State Assembly passed a bill (A.3073) to improve air quality.  EPA establishes national ambient air quality standards.  Air quality warnings were issued in Minnesota and Wisconsin.,"[{""event_id"": ""evt_448776a2db04fc3c1ccf8bc0"", ""source_row_id"": 9103, ""source_text_hash"": ""14ac86bc4bbd4000ceb51b12b85f0ef5477eeb1ff942b73712d45503633415bc"", ""report_time"": ""2006-12-04"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": ""The New York State Assembly"", ""action"": ""passed"", ""object"": ""a bill (A.3073) to improve air quality"", ""location"": ""New York State"", ""event_type_raw"": ""passing a bill to improve air quality"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""positive"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""The New York State Assembly passed a bill (A.3073) to improve air quality."", ""source_name"": null, ""extraction_confidence"": 0.9, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}, {""event_id"": ""evt_c44bf8505093b17d53e27837"", ""source_row_id"": 9103, ""source_text_hash"": ""14ac86bc4bbd4000ceb51b12b85f0ef5477eeb1ff942b73712d45503633415bc"", ""report_time"": ""2006-12-04"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": ""EPA"", ""action"": ""establishes"", ""object"": ""national ambient air quality standards"", ""location"": null, ""event_type_raw"": ""establishing national ambient air quality standards"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""EPA establishes national ambient air quality standards."", ""source_name"": null, ""extraction_confidence"": 0.9, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}, {""event_id"": ""evt_821efd933cc48aa203abbff5"", ""source_row_id"": 9103, ""source_text_hash"": ""14ac86bc4bbd4000ceb51b12b85f0ef5477eeb1ff942b73712d45503633415bc"", ""report_time"": ""2006-12-04"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""issued"", ""object"": ""air quality warnings"", ""location"": ""Minnesota and Wisconsin"", ""event_type_raw"": ""issuing air quality warnings"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""negative"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""Air quality warnings were issued in Minnesota and Wisconsin."", ""source_name"": null, ""extraction_confidence"": 0.95, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: passing a bill to improve air quality.
Event time: unknown.
Actor and action: The New York State Assembly passed a bill (A.3073) to improve air quality.
Factuality: observed.
Expected direction: positive.
Candidate lag: unknown.
Evidence: The New York State Assembly passed a bill (A.3073) to improve air quality..

Event type: establishing national ambient air quality standards.
Event time: unknown.
Actor and action: EPA establishes national ambient air quality standards.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: EPA establishes national ambient air quality standards..

Event type: issuing air quality warnings.
Event time: unknown.
Actor and action: unknown issued air quality warnings.
Factuality: observed.
Expected direction: negative.
Candidate lag: unknown.
Evidence: Air quality warnings were issued in Minnesota and Wisconsin..",True,True,True,,,,,,
9145,2007-01-15,"Air pollution can be 25-100 times higher indoors than outdoors, posing health concerns and affecting air quality.","[{""event_id"": ""evt_9bf2d9913415c68eb3fd147d"", ""source_row_id"": 9145, ""source_text_hash"": ""3943e83fe8f5bf685980d232f3fbbb75099622211cab8132e44c8c15552492f8"", ""report_time"": ""2007-01-15"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""can be higher"", ""object"": ""air pollution"", ""location"": ""indoors"", ""event_type_raw"": ""Indoor air pollution levels higher than outdoor"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""negative"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""Air pollution can be 25-100 times higher indoors than outdoors"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}, {""event_id"": ""evt_b6ff2013c4f526c8e9562f73"", ""source_row_id"": 9145, ""source_text_hash"": ""3943e83fe8f5bf685980d232f3fbbb75099622211cab8132e44c8c15552492f8"", ""report_time"": ""2007-01-15"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""posing"", ""object"": ""health concerns"", ""location"": null, ""event_type_raw"": ""Air pollution posing health concerns"", ""event_type_canonical"": null, ""affected_target"": null, ""expected_direction"": ""negative"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""posing health concerns"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}, {""event_id"": ""evt_35f965080e09084e6b229790"", ""source_row_id"": 9145, ""source_text_hash"": ""3943e83fe8f5bf685980d232f3fbbb75099622211cab8132e44c8c15552492f8"", ""report_time"": ""2007-01-15"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""affecting"", ""object"": ""air quality"", ""location"": null, ""event_type_raw"": ""Air pollution affecting air quality"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""affecting air quality"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: Indoor air pollution levels higher than outdoor.
Event time: unknown.
Actor and action: unknown can be higher air pollution.
Factuality: observed.
Expected direction: negative.
Candidate lag: unknown.
Evidence: Air pollution can be 25-100 times higher indoors than outdoors.

Event type: Air pollution posing health concerns.
Event time: unknown.
Actor and action: unknown posing health concerns.
Factuality: observed.
Expected direction: negative.
Candidate lag: unknown.
Evidence: posing health concerns.

Event type: Air pollution affecting air quality.
Event time: unknown.
Actor and action: unknown affecting air quality.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: affecting air quality.",True,True,True,,,,,,
1403,1985-11-04,"The air quality was well within federal standards in a plant in the US, and low levels of dioxins and furans were found in the air in Binghamton, New York.","[{""event_id"": ""evt_77e927b524a712c288ca0f2e"", ""source_row_id"": 1403, ""source_text_hash"": ""f80f80c68d7af523ffc1befc78dc9c278e843728d798d8e24d79811a60cb61e6"", ""report_time"": ""1985-11-04"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""was within"", ""object"": ""federal standards"", ""location"": ""a plant in the US"", ""event_type_raw"": ""air quality was well within federal standards"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""positive"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""The air quality was well within federal standards in a plant in the US"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}, {""event_id"": ""evt_4a162fa054557cd0665cfd35"", ""source_row_id"": 1403, ""source_text_hash"": ""f80f80c68d7af523ffc1befc78dc9c278e843728d798d8e24d79811a60cb61e6"", ""report_time"": ""1985-11-04"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""were found"", ""object"": ""low levels of dioxins and furans"", ""location"": ""the air in Binghamton, New York"", ""event_type_raw"": ""low levels of dioxins and furans were found in the air in Binghamton, New York"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""positive"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""low levels of dioxins and furans were found in the air in Binghamton, New York"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: air quality was well within federal standards.
Event time: unknown.
Actor and action: unknown was within federal standards.
Factuality: observed.
Expected direction: positive.
Candidate lag: unknown.
Evidence: The air quality was well within federal standards in a plant in the US.

Event type: low levels of dioxins and furans were found in the air in Binghamton, New York.
Event time: unknown.
Actor and action: unknown were found low levels of dioxins and furans.
Factuality: observed.
Expected direction: positive.
Candidate lag: unknown.
Evidence: low levels of dioxins and furans were found in the air in Binghamton, New York.",True,True,True,,,,,,
1648,1986-07-07,"Air quality implementation plans were approved and new stationary sources, including petroleum refineries, were established in New York.","[{""event_id"": ""evt_33b3655acb7b80d6cc79614a"", ""source_row_id"": 1648, ""source_text_hash"": ""06e52e2f8c4369ae23b2e768a49978aef1215d105324eec89dba696260c11610"", ""report_time"": ""1986-07-07"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""approved"", ""object"": ""Air quality implementation plans"", ""location"": ""New York"", ""event_type_raw"": ""approval of air quality implementation plans"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""Air quality implementation plans were approved"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}, {""event_id"": ""evt_76d02804b59539b7fc973f65"", ""source_row_id"": 1648, ""source_text_hash"": ""06e52e2f8c4369ae23b2e768a49978aef1215d105324eec89dba696260c11610"", ""report_time"": ""1986-07-07"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""established"", ""object"": ""new stationary sources, including petroleum refineries"", ""location"": ""New York"", ""event_type_raw"": ""establishment of new stationary sources including petroleum refineries"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""new stationary sources, including petroleum refineries, were established in New York"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: approval of air quality implementation plans.
Event time: unknown.
Actor and action: unknown approved Air quality implementation plans.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: Air quality implementation plans were approved.

Event type: establishment of new stationary sources including petroleum refineries.
Event time: unknown.
Actor and action: unknown established new stationary sources, including petroleum refineries.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: new stationary sources, including petroleum refineries, were established in New York.",True,True,True,,,,,,
2075,1987-09-07,The sports complex's environmental survey will include a study of chemical pollution data gathered by Federal and state environmental officials at two sites.,"[{""event_id"": ""evt_85dbd1702d2b4d5bece938c8"", ""source_row_id"": 2075, ""source_text_hash"": ""2e7336039c644d6aa4505f7772758ff7372c8100fb7050a44e1b89fce3243b53"", ""report_time"": ""1987-09-07"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": ""Federal and state environmental officials"", ""action"": ""gathered"", ""object"": ""chemical pollution data"", ""location"": ""two sites"", ""event_type_raw"": ""gathering of chemical pollution data"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""chemical pollution data gathered by Federal and state environmental officials at two sites"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}, {""event_id"": ""evt_608562b46d4fc743bac52e49"", ""source_row_id"": 2075, ""source_text_hash"": ""2e7336039c644d6aa4505f7772758ff7372c8100fb7050a44e1b89fce3243b53"", ""report_time"": ""1987-09-07"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": ""The sports complex's environmental survey"", ""action"": ""will include a study of"", ""object"": ""chemical pollution data"", ""location"": null, ""event_type_raw"": ""inclusion of chemical pollution data study in environmental survey"", ""event_type_canonical"": null, ""affected_target"": ""Air Quality Index"", ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""forecast"", ""evidence_span"": ""The sports complex's environmental survey will include a study of chemical pollution data"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: gathering of chemical pollution data.
Event time: unknown.
Actor and action: Federal and state environmental officials gathered chemical pollution data.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: chemical pollution data gathered by Federal and state environmental officials at two sites.

Event type: inclusion of chemical pollution data study in environmental survey.
Event time: unknown.
Actor and action: The sports complex's environmental survey will include a study of chemical pollution data.
Factuality: forecast.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: The sports complex's environmental survey will include a study of chemical pollution data.",True,True,True,,,,,,
9411,2007-10-08,"The US government announced the largest single environmental settlement in history on October 9, 2007, resolving a lawsuit against AEP for violating the Clean Air Act.","[{""event_id"": ""evt_f53b595615345a4828234768"", ""source_row_id"": 9411, ""source_text_hash"": ""04d26423252c4454ef558728e6e253e586be072dab72abfa63f2fcf0bf87aa89"", ""report_time"": ""2007-10-08"", ""event_time_start"": ""2007-10-09"", ""event_time_end"": null, ""actor"": ""The US government"", ""action"": ""announced"", ""object"": ""the largest single environmental settlement in history"", ""location"": null, ""event_type_raw"": ""announcement of largest single environmental settlement"", ""event_type_canonical"": null, ""affected_target"": null, ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""The US government announced the largest single environmental settlement in history on October 9, 2007"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""invalid"", ""grounding_status"": ""exact"", ""warnings"": [""future_event_marked_observed""]}, {""event_id"": ""evt_bdbd507d614799b866a3e23d"", ""source_row_id"": 9411, ""source_text_hash"": ""04d26423252c4454ef558728e6e253e586be072dab72abfa63f2fcf0bf87aa89"", ""report_time"": ""2007-10-08"", ""event_time_start"": ""2007-10-09"", ""event_time_end"": null, ""actor"": ""The US government"", ""action"": ""resolved"", ""object"": ""a lawsuit against AEP for violating the Clean Air Act"", ""location"": null, ""event_type_raw"": ""resolution of lawsuit against AEP for Clean Air Act violation"", ""event_type_canonical"": null, ""affected_target"": null, ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""resolving a lawsuit against AEP for violating the Clean Air Act"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""invalid"", ""grounding_status"": ""exact"", ""warnings"": [""event_time_not_explicitly_dated_in_evidence"", ""future_event_marked_observed""]}]",No material event was identified in the provided text.,True,True,False,,,,,,
794,1984-03-05,The Environmental Protection Agency has established rules for air pollution and standards of performance for new sources.,[],,False,False,False,,,,,,
745,1984-01-16,"Objective facts about the Environment situation:  The Environmental Protection Agency (EPA) posted standards of performance for new stationary sources, specifically onshore natural gas, on January 19, 1984.  Air pollution from industrial sources is a concern, and permits are required for air quality control.","[{""event_id"": ""evt_3d979f67dfdbf779705eb38e"", ""source_row_id"": 745, ""source_text_hash"": ""bf82960c7cce82db8a68ddcf2dc5fffe5147cdd69baf49c0a410dc95ab049ad7"", ""report_time"": ""1984-01-16"", ""event_time_start"": ""1984-01-19"", ""event_time_end"": null, ""actor"": ""Environmental Protection Agency (EPA)"", ""action"": ""posted standards of performance for new stationary sources, specifically onshore natural gas"", ""object"": ""standards of performance for new stationary sources, specifically onshore natural gas"", ""location"": null, ""event_type_raw"": ""EPA posted standards of performance for new stationary sources"", ""event_type_canonical"": null, ""affected_target"": null, ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""The Environmental Protection Agency (EPA) posted standards of performance for new stationary sources, specifically onshore natural gas, on January 19, 1984."", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""invalid"", ""grounding_status"": ""exact"", ""warnings"": [""future_event_marked_observed""]}]",No material event was identified in the provided text.,True,True,False,,,,,,
9530,2008-02-04,"The New York State Department of Environmental Conservation (DEC) is responsible for protecting the land, water, and air resources in New York, including overseeing contaminated site clean-ups and ensuring air and water quality.",[],No material event was identified in the provided text.,True,True,True,,,,,,
997,1984-09-24,Objective facts about the Environment situation: The Record of Decision for the Hudson River PCBs Site in New York includes performance standards for air quality and noise consistent with state and federal law.,"[{""event_id"": ""evt_966a2de8e4795d7fc633ed6e"", ""source_row_id"": 997, ""source_text_hash"": ""2e15680eead7f291b95223bd334a5ef6ab03eb0381ce0807f0428eb41ceaa36c"", ""report_time"": ""1984-09-24"", ""event_time_start"": null, ""event_time_end"": null, ""actor"": null, ""action"": ""includes performance standards for air quality and noise"", ""object"": ""performance standards for air quality and noise"", ""location"": ""Hudson River PCBs Site in New York"", ""event_type_raw"": ""inclusion of performance standards for air quality and noise"", ""event_type_canonical"": null, ""affected_target"": null, ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""The Record of Decision for the Hudson River PCBs Site in New York includes performance standards for air quality and noise consistent with state and federal law."", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""undated"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: inclusion of performance standards for air quality and noise.
Event time: unknown.
Actor and action: unknown includes performance standards for air quality and noise performance standards for air quality and noise.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: The Record of Decision for the Hudson River PCBs Site in New York includes performance standards for air quality and noise consistent with state and federal law..",True,True,True,,,,,,
661,1983-10-24,"The article ""LENDING AN EAR TO NOISE POLLUTION"" mentions the Town of Babylon's revised noise-control ordinance in 1979, which used guidelines from the State Department of Environmental Conservation.","[{""event_id"": ""evt_8d0e7b7468e167e07ab42f07"", ""source_row_id"": 661, ""source_text_hash"": ""df5373e35ac5240212134b90e6e4ca837efc88482d14002d9bce067bf65072c4"", ""report_time"": ""1983-10-24"", ""event_time_start"": ""1979"", ""event_time_end"": null, ""actor"": ""Town of Babylon"", ""action"": ""revised"", ""object"": ""noise-control ordinance"", ""location"": null, ""event_type_raw"": ""revised noise-control ordinance"", ""event_type_canonical"": null, ""affected_target"": null, ""expected_direction"": ""unknown"", ""intensity"": ""unknown"", ""candidate_lag_min"": null, ""candidate_lag_max"": null, ""expected_duration"": null, ""factuality"": ""observed"", ""evidence_span"": ""the Town of Babylon's revised noise-control ordinance in 1979"", ""source_name"": null, ""extraction_confidence"": 1.0, ""temporal_status"": ""past"", ""grounding_status"": ""exact"", ""warnings"": []}]","Event type: revised noise-control ordinance.
Event time: 1979.
Actor and action: Town of Babylon revised noise-control ordinance.
Factuality: observed.
Expected direction: unknown.
Candidate lag: unknown.
Evidence: the Town of Babylon's revised noise-control ordinance in 1979.",True,True,True,,,,,,
